id,premise1,premise2,conclusion,type,new_type,type_amr_op,"Remarks (Ian)  "
2224,"when water falls from the sky , that water usually returns to the soil",precipitation is when water falls from the sky,"when precipitation happens, water usually returns to the soil",substitution,,,
2225,water is a kind of liquid at room temperature,freezing means a substance changes from a liquid into a solid by decreasing heat energy,freezing will change the liquid water into solid,init,,,
2226,the sun is the star that is closest to earth,the stars in the night sky are very far away from the earth,the sun is closer to earth than other stars to earth,init,opposite,,
2227,clearing trees from a forest means cutting down trees in that forest,cutting down trees in a forest causes the number of trees to decrease in that forest,clearing trees from a forest causes the number of trees to decrease in that forest,substitution,,,
2228,venus reflects more sunlight toward earth than other planets,"as the light reflected off of an object increases , the object will appear to be brighter",venus reflecting more sunlight than other planets make it brighter than other planets,inference_from_rule,,,
2229,a plant is a kind of organism,crops are a kind of edible plant for eating,a crop is a kind of organism,substitution,,,
2230,exposure to increased pressure metamorphoses sedimentary rock into metamorphic rock,shale is a kind of sedimentary rock,exposure to increased pressure metamorphoses shale into metamorphic rock,substitution,arg_substitution,,
2231,the subduction of tectonic plates is found at the convergent boundaries / the converging boundaries,tectonic plates collide at convergent boundaries,subduction of tectonic plates is found where tectonic plates collide,substitution,,,
2232,sand and clay is a solid mixture of different sized particles,a sifter can be used for separating a mixture of different sized solids,a sifter can be used to separate sand and clay in the soil,substitution,,,
2233,heat is taken away from a container of water,taking heat away from water means decreasing heat energy of the water,the heat energy of the water in the container is decreasing,substitution,,,
